"listing_id","mock_product_id","demo_store_id","price_eur","old_price_eur","currency","size_options","availability"
"LST-001","MOCK-001","demo-store-04","23.99","","EUR","S|L|XL","in_stock"
"LST-002","MOCK-001","demo-store-06","33.99","42.04","EUR","S|M|L|XL","limited"
"LST-003","MOCK-003","demo-store-04","58.99","","EUR","S|M|L|XL","out_of_stock"
"LST-004","MOCK-004","demo-store-05","17.99","","EUR","XS|S|M","in_stock"
"LST-005","MOCK-006","demo-store-01","46.99","","EUR","XS|M|L","limited"
"LST-006","MOCK-006","demo-store-03","43.99","60.90","EUR","XS|S|M|L","in_stock"
"LST-007","MOCK-007","demo-store-06","64.99","","EUR","XS|S|L","limited"
"LST-008","MOCK-007","demo-store-02","64.99","81.30","EUR","XS|S|M|L","limited"
"LST-009","MOCK-008","demo-store-03","29.99","","EUR","S|XL","limited"
"LST-010","MOCK-008","demo-store-04","41.99","","EUR","S|M|L|XL","in_stock"
"LST-011","MOCK-009","demo-store-04","16.99","","EUR","one_size","in_stock"
"LST-012","MOCK-009","demo-store-06","20.99","","EUR","one_size","limited"
"LST-013","MOCK-010","demo-store-02","32.99","","EUR","XS|S|M|L","limited"
"LST-014","MOCK-017","demo-store-02","33.99","39.53","EUR","S|M|L","out_of_stock"
"LST-015","MOCK-018","demo-store-01","10.99","","EUR","XS|S|M","limited"
"LST-016","MOCK-020","demo-store-04","5.99","7.75","EUR","one_size","in_stock"
"LST-017","MOCK-020","demo-store-03","5.99","8.37","EUR","one_size","limited"
"LST-018","MOCK-022","demo-store-01","12.99","","EUR","S|M|L|XL","limited"
"LST-019","MOCK-025","demo-store-04","20.99","","EUR","XS|S|M","in_stock"
"LST-020","MOCK-027","demo-store-05","15.99","","EUR","one_size","limited"
"LST-021","MOCK-028","demo-store-05","18.99","","EUR","XS|S|M","in_stock"
"LST-022","MOCK-031","demo-store-06","12.99","17.28","EUR","35-38|39-42|43-46","in_stock"
"LST-023","MOCK-031","demo-store-05","12.99","","EUR","35-38|39-42|43-46","in_stock"
"LST-024","MOCK-036","demo-store-02","17.99","","EUR","one_size","in_stock"
"LST-025","MOCK-037","demo-store-06","90.99","","EUR","36|37|38|40|41|42","in_stock"
"LST-026","MOCK-037","demo-store-02","63.99","","EUR","36|37|38|39|40|41|42|43","in_stock"
"LST-027","MOCK-038","demo-store-04","21.99","29.63","EUR","S|M|L|XL","out_of_stock"
"LST-028","MOCK-041","demo-store-01","78.99","101.30","EUR","40|41|43|45","out_of_stock"
"LST-029","MOCK-042","demo-store-01","50.99","","EUR","XS|S|M","in_stock"
"LST-030","MOCK-044","demo-store-03","179.99","","EUR","S|M|L","in_stock"
"LST-031","MOCK-045","demo-store-06","103.99","129.97","EUR","XS|S|M|L","limited"
"LST-032","MOCK-046","demo-store-01","77.99","","EUR","36|38|39|41|42|43|45","in_stock"
"LST-033","MOCK-048","demo-store-03","70.99","90.57","EUR","S|XL","in_stock"
"LST-034","MOCK-049","demo-store-05","79.99","105.79","EUR","S|L","in_stock"
"LST-035","MOCK-050","demo-store-05","157.99","","EUR","40|42|43|44","in_stock"
"LST-036","MOCK-052","demo-store-03","149.99","","EUR","S|M|L|XL","limited"
"LST-037","MOCK-055","demo-store-02","35.99","46.07","EUR","85|95|100","out_of_stock"
"LST-038","MOCK-056","demo-store-01","52.99","","EUR","one_size","out_of_stock"
"LST-039","MOCK-056","demo-store-06","46.99","","EUR","one_size","in_stock"
"LST-040","MOCK-059","demo-store-06","15.99","","EUR","XS|S|M|L","in_stock"
"LST-041","MOCK-060","demo-store-05","21.99","25.31","EUR","one_size","in_stock"
"LST-042","MOCK-061","demo-store-02","70.99","","EUR","XS|S|M|L","out_of_stock"
"LST-043","MOCK-063","demo-store-05","73.99","","EUR","XS|S|M|L","limited"
"LST-044","MOCK-063","demo-store-06","74.99","","EUR","XS|L","limited"
"LST-045","MOCK-064","demo-store-06","94.99","","EUR","one_size","in_stock"
"LST-046","MOCK-064","demo-store-03","76.99","89.96","EUR","one_size","in_stock"
