"mock_product_id","motif","surface","details","visual_description"
"MOCK-001","none","solid|washed_cotton","point_collar|button_placket|curved_hem|buttoned_cuffs|dropped_shoulder","Relaxed stone-beige button-up shirt in washed cotton with a point collar, full button placket and a curved shirttail hem."
"MOCK-002","none","solid|smooth_twill","high_waist|pleated_front|wide_leg|pressed_crease|belt_loops_none","Black high-waisted trousers with double front pleats, a pressed centre crease and a long wide straight leg."
"MOCK-003","none","solid|heavy_twill","point_collar|button_placket|two_flap_chest_pockets|boxy_fit|workwear","Olive utility overshirt in heavy cotton twill with two buttoned flap chest pockets and a boxy workwear cut."
"MOCK-004","none","ribbed|fine_rib_knit","scoop_neck|wide_straps|fitted|sleeveless","Ivory fine-ribbed tank with a scooped neckline, wide shoulder straps and a close fitted body."
"MOCK-005","none","washed_denim|faded","five_pocket|straight_leg|button_fly|contrast_stitching|copper_rivets|whiskering","Mid-blue straight-leg jeans with faded whiskering, classic five-pocket construction and contrast topstitching."
"MOCK-006","none","brushed_knit|soft_wool","v_neck|button_front|ribbed_cuffs|ribbed_hem|oversized|dropped_shoulder","Camel V-neck cardigan in soft brushed knit with five buttons, ribbed cuffs and hem, cut oversized with dropped shoulders."
"MOCK-007","none","solid|smooth_suiting","notch_lapel|single_button|two_flap_pockets|welt_chest_pocket|princess_seams|lined|tailored_fit","Navy single-breasted blazer with notch lapels, one button, flap hip pockets and shaping seams through a tailored body."
"MOCK-008","none","solid|brushed_fleece|heather","hood|drawstring|kangaroo_pocket|ribbed_cuffs|ribbed_hem|regular_fit","Heather-grey pullover hoodie in brushed fleece, plain fronted, with a drawstring hood, kangaroo pocket and ribbed cuffs and hem."
"MOCK-009","none","solid|smooth_leather","roller_buckle|keeper_loop|punched_holes|matte_hardware|wide_strap","Black smooth faux-leather belt with a matte black roller buckle and a single keeper loop."
"MOCK-010","none","satin|high_shine|fluid_drape","bias_cut|a_line_flare|midi_length|no_visible_closure","Champagne satin midi skirt cut on the bias, falling in a smooth A-line flare with a liquid high-shine surface."
"MOCK-011","none","suede|napped","point_collar|full_zip|two_welt_pockets|yoke_seam|banded_cuffs|banded_hem|blouson","Tobacco-brown suede-look jacket in a short blouson cut with a point collar, full-length zip and slanted welt pockets."
"MOCK-012","none","solid|jersey_cotton","ribbed_crew_neck|dropped_shoulder|short_wide_sleeves|boxy_fit","Plain white boxy tee in mid-weight cotton jersey with a ribbed crew neck and dropped shoulders."
"MOCK-013","none","solid|wool_melton|marled","notch_lapel|single_breasted|three_buttons|welt_pockets|longline|knee_length|lined","Charcoal single-breasted longline coat in marled wool melton with notch lapels, three buttons and slanted welt pockets, falling below the knee."
"MOCK-014","none","solid|cotton_twill|washed","high_waist|belt_loops|two_cargo_flap_pockets|a_line|mini_length|button_fly","Khaki cargo mini skirt in washed cotton twill with belt loops and two large buttoned cargo flap pockets on the hips."
"MOCK-015","none","solid|brushed_fleece","ribbed_crew_neck|cropped|balloon_sleeves|ribbed_cuffs|wide_ribbed_hem|dropped_shoulder","Pink cropped sweatshirt in soft brushed fleece with a ribbed crew neck, blouson balloon sleeves and a wide ribbed hem."
"MOCK-016","none","solid|smooth_leather","top_zip|curved_baguette_shape|short_shoulder_strap|gold_hardware|d_rings","Small black shoulder bag in smooth faux leather with a curved baguette body, gold-tone hardware and a short flat shoulder strap."
"MOCK-017","none","light_wash_denim|faded","high_waist|five_pocket|tapered_leg|button_fly|belt_loops|mom_fit","Light-blue mom jeans in pale washed denim, high-waisted with a roomy tapered leg and classic five-pocket detailing."
"MOCK-018","none","ribbed|fine_rib_knit","crew_neck|long_sleeves|fitted|stretch","Sage green fine-ribbed long-sleeve top with a plain crew neck and a slim stretch fit."
"MOCK-019","none","quilted|matte_nylon|horizontal_baffles","full_zip|funnel_collar|sleeveless|two_welt_pockets|padded","Beige padded gilet in matte nylon with horizontal quilted baffles, a high funnel collar, full zip and slanted welt pockets."
"MOCK-020","none","satin|high_shine|gathered","scrunched_ring|elastic|set_of_three","Set of three lilac satin hair scrunchies with a high-shine gathered ring and soft elastic core."
"MOCK-021","none","solid|matte_jersey|stretch","high_waist|wide_waistband|flared_leg|centre_seam|pull_on","Black high-waisted leggings in matte stretch jersey with a wide waistband and a long kick-flared leg."
"MOCK-023","floral|small_scale_blossom_print","print|fluid_viscose","v_neck|wrap_front|waist_tie|flutter_sleeves|ruffle_hem|asymmetric_midi","Red wrap dress covered in a small cream and tan floral blossom print, with flutter sleeves, a waist tie and a ruffled asymmetric midi hem."
"MOCK-024","none","solid|heavy_cotton_canvas","two_long_handles|open_top|reinforced_stitching|unstructured|flat_bottom|roomy","Natural cream canvas tote with two long shoulder handles, an open top and a large unstructured body."
"MOCK-025","none","faux_leather|matte_grain","high_waist|belt_loops|five_pocket|a_line|mini_length|snap_button","Chocolate-brown faux-leather mini skirt with belt loops, front pockets and a clean A-line cut."
"MOCK-026","none","solid|brushed_fleece|heather","elastic_waistband|side_pockets|wide_straight_leg|pull_on|high_waist","Grey heather wide-leg sweatpants in brushed fleece with an elasticated pull-on waistband and a loose column leg."
"MOCK-027","quilted_diamond|geometric","quilted|smooth_faux_leather|diamond_stitch","top_zip|curved_hobo_shape|adjustable_strap|silver_hardware|clip_hooks","Mint green crossbody bag with a diamond-quilted body, a softly curved hobo shape and an adjustable strap on silver clip hooks."
"MOCK-028","none","solid|matte_technical|knife_pleats","high_waistband|all_round_knife_pleats|a_line|mini_length","Navy pleated tennis skirt with a smooth high waistband breaking into crisp knife pleats all the way round."
"MOCK-029","none","solid|smooth_leather","chunky_platform_sole|lace_up|perforated_vents|padded_collar|low_top|court_shape","All-white chunky court sneakers on a thick sculpted platform sole, with lace-up fronts and small perforated vents."
"MOCK-030","none","suede_and_mesh|tonal_panels","lace_up|low_top|padded_collar|lugged_sole|retro_runner_shape","All-black retro runner sneakers panelled in suede and mesh, on a chunky lugged rubber sole."
"MOCK-031","none","ribbed|marled_cotton","ribbed_cuff|crew_height|reinforced_heel_toe|pack_of_three","Three pairs of grey marled crew socks in a plain ribbed knit with a reinforced heel and toe; no visible logo or motif on the product image despite the product name."
"MOCK-032","none","solid|brushed_fleece","hood|drawstring|full_zip|two_kangaroo_pockets|ribbed_cuffs|ribbed_hem|dropped_shoulder","Forest-green zip-through hoodie in brushed fleece with a drawstring hood, split front pockets and ribbed cuffs and hem."
"MOCK-033","none","solid|smooth_leather","chunky_platform_sole|lace_up|low_top|padded_collar|minimal_upper","All-black platform sneakers with a clean unbranded leather upper sitting on a thick flat platform sole."
"MOCK-034","none","solid|glossy_nylon|lightweight","stand_collar|full_zip|raglan_sleeves|two_welt_pockets|elastic_cuffs|elastic_hem","Bright blue lightweight track jacket in glossy nylon with a stand collar, full zip, raglan sleeves and elasticated cuffs and hem."
"MOCK-035","none","solid|cotton_twill|washed","elastic_drawstring_waist|two_cargo_flap_pockets|slash_pockets|knee_seams|elastic_cuffed_hem|tapered","Sand cargo joggers in washed cotton twill with a drawstring waist, large flap thigh pockets and elasticated cuffs."
"MOCK-036","none","solid|cotton_twill","curved_brim|six_panel|eyelet_vents|topstitched_brim|unstructured_crown","Burgundy six-panel baseball cap in cotton twill with a curved topstitched brim and stitched eyelet vents; no logo or badge on the front."
"MOCK-037","none","solid|smooth_leather|tonal","high_top|lace_up|padded_ankle_collar|perforated_toe_vents|cupsole","Cream high-top sneakers in tonal smooth leather with a padded ankle collar, perforated toe vents and a classic cupsole."
